RECNO,Ter ,SSL,ID ,Consignee,Container No,Chassis No,,,, EL Bill,,WO #,BOL #,,
1907901,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,CAAU-514429-4,EMCZ-840367,02/17/2022,02/18/2022,,67.00 ,"1,573.25 ","2,120.85 ",SEA0000591,HDMULCHM10594600,02/17/2022
1907902,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,CAIU-456646-7,APMZ-701851,02/22/2022,03/12/2022,03/12/2022,1147.00 ,"1,055.60 ","2,674.20 ",SEA0000595,HDMULCHM34572718,02/28/2022
1907903,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,CAIU-713070-7,EMCZ-101497,02/17/2022,02/17/2022,,29.00 ,"1,573.25 ","2,082.85 ",SEA0000597,HDMULCHM10594600,02/17/2022
1907904,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,CAIU-713464-1,MAEC-691953,02/24/2022,03/04/2022,03/04/2022,0.00 ,767.00 ,"1,249.40 ",SEA0000598,HDMULCHM66083900,03/02/2022
1907905,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,CAIU-714971-8,DCLZ-400767,02/24/2022,03/15/2022,,0.00 ,"2,316.20 ","2,798.60 ",SEA0000599,HDMULCHM34572738,03/03/2022
1907906,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,BSIU-923248-9,APMZ-420870,02/17/2022,02/18/2022,02/18/2022,67.00 ,"1,573.25 ","2,120.85 ",SEA0000582,HDMULCHM66083900,02/17/2022
1907907,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,BMOU-522519-3,APMZ-423973,02/24/2022,03/14/2022,,0.00 ,"2,095.50 ","2,577.90 ",SEA0000579,HDMULCHM34572738,03/03/2022
1907908,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,BMOU-463944-0,EMCZ-540985,02/25/2022,03/04/2022,,0.00 ,729.00 ,"1,211.40 ",SEA0000576,HDMULCHM08899000,03/03/2022
1907909,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,BMOU-517213-3,DCLZ-403026,02/17/2022,03/03/2022,03/03/2022,67.00 ,"2,249.95 ","2,797.55 ",SEA0000578,HDMULCHM84032803,02/17/2022
1907910,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,BMOU-522579-0,DCLZ-416733,02/17/2022,02/25/2022,,342.00 ,"1,573.25 ","2,386.85 ",SEA0000580,HDMULCHM34572778,02/17/2022
