RECNO,BILLTOID,BILLTO,PICKUPDATE,SCHEDPUTIME,BOLNUMBER,CUST_REF,Container No,TERMINAL
1907835,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/23/2022,2359,HDMULCHM19187101,14346518,KOCU402428,CHI
1910940,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/21/2022,2359,HDMULCHM53437000,,KOCU498525,CHI
1910925,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/28/2022,2359,HDMUSELM36500925,14455063,KOCU444787,CHI
1907839,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/23/2022,2359,HDMULCHM92675400,14346662,KOCU419062,CHI
1908353,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/22/2022,2359,HDMULCHM34572728,14367472,KOCU482635,CHI
1907838,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",2/26/2022,2359,HDMULCHM23884400,14378234,KOCU417921,CHI
1910926,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,HDMUSELM65881507,,KOCU447112,CHI
1912264,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,MAEUS00645017,,MAGU559602,ATL
1908554,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/7/2022,2359,ONEYSZPBBH047500,14401952,MOTU672120,DIT
1910309,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/15/2022,2359,ONEYSZPBAK432303,14401464,MOTU581661,CHI
1912225,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,MAEUS00645002,,MRKU544728,ATL
1909819,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/19/2022,2359,MAEUS00563369,14445384,MRKU451269,ATL
1909820,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/16/2022,2359,MAEUS00563351,14418968,MRKU569219,ATL
1912256,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/26/2022,2359,MAEUS00587865,14458651,MRKU418474,ATL
1912260,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/25/2022,2359,MAEUS00587869,14449030,MRKU229893,ATL
1912226,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,MAEUS00645004,,MRSU461120,ATL
1912950,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,215761360,,MRSU386223,CHI
1913177,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,2359,215859209,14461313,MRSU458406,CHI
1913298,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,MEDUT5769665,,MSDU859916,DAL
1912703,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,MEDUV5459957,,MSDU725039,CHI
1912704,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,MEDUV5459957,,MSDU783688,CHI
1913297,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,MEDUT5769657,,MSDU859896,DAL
1913063,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,MEDUP959MSC0506,,MSDU735743,DAL
1909823,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/18/2022,2359,MAEUS00563358,14445545,MSKU173811,ATL
1909824,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/17/2022,2359,MAEUS00563360,14418969,MSKU946336,ATL
1912265,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,MAEUS00645021,,MSKU34248,ATL
1912223,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/24/2022,2359,MAEUS00587870,14449031,MSKU35172,ATL
1912266,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,MAEUS00645018,,MSKU165798,ATL
1909822,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/19/2022,2359,MAEUS00563359,14445544,MSKU116381,ATL
1909821,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/17/2022,2359,MAEUS00563350,14445386,MSKU45314,ATL
1912261,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/25/2022,2359,MAEUS00587867,14449032,MSKU99364,ATL
1912227,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,MAEUS00645000,,MSKU43288,ATL
1913299,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,MEDUT5769640,,MSMU793316,DAL
1913064,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,MEDUP9590514,,MSMU834056,DAL
1913004,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYLCBC06893800,,MTSU966760,DIT
1910623,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/9/2022,2359,ONEYSZPBAK432304,14439604,NYKU435329,DIT
