RECNO ,Ter ,SSL,ID ,Consignee,Container No,Chassis No,,,, EL Bill,,WO #,BOL #,,
1932779,ATL,HII,SAMSDTX,LOWES ADC 3461,KOCU470057,TLXZ-459261,11/14/2022,11/30/2022,11/21/2022,0.00 ,"1,290.00 ","2,544.83 ",SEA0039753,HDMULCHM36648301,11/16/2022
1932780,ATL,HII,SAMSDTX,LOWES ADC 3461,KOCU472554,XNPZ-175117,11/04/2022,11/17/2022,11/14/2022,0.00 ,"1,140.00 ","2,394.83 ",SEA0039754,HDMULCHM65963101,11/13/2022
1932781,ATL,HII,SAMSDTX,LOWES ADC 3461,KOCU475292,HDMZ-408608,11/15/2022,12/03/2022,12/01/2022,0.00 ,"2,354.83 ","3,609.66 ",SEA0039755,HDMULCHM36648305,11/23/2022
1932782,ATL,HII,SAMSDTX,LOWES ADC 3461,KOCU483688,NAPZ-175306,11/14/2022,11/23/2022,11/21/2022,0.00 ,990.00 ,"2,244.83 ",SEA0039756,HDMULCHM12146900,11/17/2022
1932783,ATL,HII,SAMSDTX,LOWES ADC 3461,KOCU488870,TAXZ-432649,11/04/2022,11/14/2022,11/07/2022,0.00 ,"1,030.00 ","2,284.83 ",SEA0039757,HDMULCHM55239600,11/07/2022
1932784,ATL,HII,SAMSDTX,LOWES ADC 3461,KOCU520426,MAEC-622575,11/14/2022,11/28/2022,11/21/2022,0.00 ,"2,444.83 ","3,699.66 ",SEA0039758,HDMULCHM92917601,11/17/2022
1932785,ATL,HII,SAMSDTX,LOWES ADC 3461,KOCU521296,NAPZ-422958,11/03/2022,11/16/2022,11/08/2022,0.00 ,940.00 ,"2,194.83 ",SEA0039759,HDMULCHM65963102,11/07/2022
1917604,ATL,ONE,QUARTIL,ATLANTA DASH,NYKU847721,NAPZ-423610,11/03/2022,11/04/2022,,742.50 ,0.00 ,"1,210.60 ",OICHI-22040025,ONEYTPEC27333500,11/04/2022
1929977,SAV,HII,SAMSDTX,NEOVIA LOGISTICS,KOCU445951,SDSZ-400618,11/09/2022,11/17/2022,,0.00 ,300.00 ,"2,230.50 ",EDA0001263,HDMUSELM45699000,11/10/2022
1929984,SAV,HII,SAMSDTX,NEOVIA LOGISTICS,KOCU494949,SDSZ-400699,11/09/2022,11/17/2022,11/14/2022,0.00 ,300.00 ,"2,230.50 ",EDA0001265,HDMUSELM24132000,11/10/2022
1931887,SAV,HII,SAMSDTX,NEOVIA LOGISTICS,KOCU508650,SDSZ-400643,11/21/2022,12/05/2022,,0.00 ,910.00 ,"2,840.50 ",EDA0001043,HDMUSELM59276000,11/30/2022
1931990,ATL,ONE,ONEVA,MAKITA CORP.,FDCU050050,FZLZ-994026,11/04/2022,11/04/2022,,0.00 ,0.00 ,688.50 ,CHI4481160-CHI32887897,SH0YJ0976500,11/04/2022
1931991,ATL,ONE,ONEVA,MAKITA CORP.,NYKU849940,DCSZ-794748,11/03/2022,11/03/2022,,175.00 ,0.00 ,863.50 ,CHI4481161-CHI32887898,SH0YJ0976500,11/03/2022
1932020,ATL,ONE,QUARTCA,TTRC,FFAU184218,AIMZ-473087,11/03/2022,11/03/2022,,317.50 ,0.00 ,906.05 ,OILAX-22070733,ONEYNB2BDQ588300,11/03/2022
1932021,ATL,ONE,QUARTCA,TTRC,KKFU754993,FLTZ-454900,11/03/2022,11/04/2022,,360.00 ,0.00 ,948.55 ,OILAX-22070733,ONEYNB2BDQ588300,11/04/2022
