RECNO ,Ter ,SSL,ID ,Consignee,Container No,Chassis No,,,, EL Bill,,WO #,BOL #,,
1898034,SAV,ONE,DMXLONH,ESSENTIAL MEDICAL SUPP,TCLU8940571,TAXZ-194602,12/16/2021,12/27/2021,,850.00 ,775.00 ,"3,095.15 ",42186,ONEYNB1BHG737800,12/23/2021
1898094,ATL,HAP,SAMSDCA,XPO LOGISTICS,FDCU0172627,PONZ-455580,12/17/2021,12/28/2021,,1050.00 ,0.00 ,"1,475.60 ",0057771,HLCUSEL211004728,12/28/2021
1898095,ATL,HAP,SAMSDCA,XPO LOGISTICS,HLBU2214937,EMCZ-741929,12/17/2021,12/29/2021,,1125.00 ,0.00 ,"1,550.60 ",0057772,HLCUSEL211004739,12/29/2021
1898096,ATL,HAP,SAMSDCA,XPO LOGISTICS,GATU8749205,MAEC-689679,12/21/2021,01/17/2022,,2390.00 ,0.00 ,"2,815.60 ",0057773,HLCUSEL211004740,01/17/2022
1898097,ATL,HAP,SAMSDCA,XPO LOGISTICS,GESU6388428,XNPZ-439198,12/21/2021,01/07/2022,,1550.00 ,0.00 ,"1,975.60 ",0057774,HLCUSEL211004761,01/06/2022
1898098,ATL,HAP,SAMSDCA,XPO LOGISTICS,HLBU1201030,FLXZ-421593,12/23/2021,12/23/2021,,40.00 ,0.00 ,465.60 ,0057776,HLCUSEL211004783,12/23/2021
1898109,ATL,ONE,ONEVA,MAKITA CORP.,TCLU8130800,NAPZ-185373,12/30/2021,01/05/2022,,0.00 ,762.50 ,"1,227.02 ",CHI3635393-CHI26210944,SZ1HT1135300,01/05/2022
1898110,ATL,ONE,ONEVA,MAKITA CORP.,TRHU4990718,FLXZ-418727,12/22/2021,12/22/2021,,0.00 ,0.00 ,464.52 ,CHI3635393-CHI26210943,SZ1HT1135300,12/22/2021
1898111,ATL,ONE,ONEVA,MAKITA CORP.,FCIU9768520,APMZ-421682,12/22/2021,12/22/2021,,0.00 ,0.00 ,464.52 ,CHI3635393-CHI26210945,SZ1HT1135300,12/22/2021
1899860,ATL,ONE,ONEVA,MAKITA CORP.,TRHU4638733,TAXZ-192942,01/10/2022,01/10/2022,,0.00 ,0.00 ,478.24 ,CHI3684410-CHI26574481,SH1HT0287300,01/10/2022
