RECNO ,Ter ,SSL,ID ,Consignee,Container No,Chassis No,,,, EL Bill,,WO #,BOL #,,
1934721,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,CAIU998356,GACZ-400420,12/08/2022,12/09/2022,12/09/2022,0.00 ,80.00 ,764.00 ,SEA0042807,HDMUSELM30435300,12/08/2022
1934722,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,DRYU920401,OESZ-801662,12/08/2022,12/09/2022,,0.00 ,80.00 ,764.00 ,SEA0042815,HDMUSELM01581001,12/08/2022
1934724,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,HDMU472697,NEDZ-402941,12/08/2022,12/09/2022,12/09/2022,0.00 ,80.00 ,764.00 ,SEA0042832,HDMUSELM30435300,12/08/2022
1934726,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,HMMU614388,BNCZ-593168,12/08/2022,12/09/2022,12/09/2022,0.00 ,80.00 ,764.00 ,SEA0042836,HDMUSELM02553200,12/08/2022
1934727,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,HMMU630370,DCLZ-412688,12/08/2022,12/09/2022,12/08/2022,0.00 ,80.00 ,764.00 ,SEA0042837,HDMUSELM30435300,12/08/2022
1934732,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,KOCU433481,NEDZ-401110,12/08/2022,12/09/2022,,0.00 ,80.00 ,764.00 ,SEA0042856,HDMUSELM82503300,12/08/2022
1934733,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,KOCU461968,EMCZ-542412,12/12/2022,12/12/2022,,0.00 ,40.00 ,724.00 ,SEA0042861,HDMUSELM24099801,12/12/2022
1934201,CHI,MSK,SAMSDTX,UNIS BOLINGBROOK,MSKU100504,MOFZ-660040,12/06/2022,12/08/2022,12/07/2022,0.00 ,370.00 ,"1,183.20 ",SEA0041973,MAEU914638259,12/06/2022
1934202,CHI,MSK,SAMSDTX,UNIS BOLINGBROOK,MSKU121125,APMZ-700793,12/06/2022,12/12/2022,12/12/2022,0.00 ,280.00 ,"1,093.20 ",SEA0041974,MAEU914638259,12/06/2022
1934203,CHI,ONE,SAMSDTX,UNIS BOLINGBROOK,TCLU875783,KKLZ-404520,12/17/2022,12/27/2022,12/20/2022,0.00 ,440.00 ,"1,253.20 ",SEA0041653,ONEYHANC67019901,12/17/2022
1934204,CHI,MSK,SAMSDTX,UNIS BOLINGBROOK,PONU007567,CCLZ-240687,12/12/2022,12/16/2022,12/13/2022,0.00 ,200.00 ,"1,013.20 ",SEA0041975,MAEU914638259,12/12/2022
